golgg_game_id,tournament,date,team_blue,team_red,player,team,golddiffat15
62574,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Flandre,WBG,179
62574,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Kanavi,WBG,-152
62574,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Yagao,WBG,-398
62574,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Ruler,WBG,-331
62574,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Missing,WBG,-154
62574,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Breathe,JD Gaming,-179
62574,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Tarzan,JD Gaming,152
62574,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,xiaohu,JD Gaming,398
62574,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Light,JD Gaming,331
62574,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Crisp,JD Gaming,154
62575,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Breathe,WBG,-661
62575,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Tarzan,WBG,18
62575,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,xiaohu,WBG,1380
62575,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Light,WBG,2592
62575,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Crisp,WBG,533
62575,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Flandre,JD Gaming,661
62575,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Kanavi,JD Gaming,-18
62575,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Yagao,JD Gaming,-1380
62575,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Ruler,JD Gaming,-2592
62575,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Missing,JD Gaming,-533
62576,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Flandre,WBG,558
62576,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Kanavi,WBG,728
62576,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Yagao,WBG,1918
62576,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Ruler,WBG,98
62576,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Missing,WBG,-411
62576,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Breathe,JD Gaming,-558
62576,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Tarzan,JD Gaming,-728
62576,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,xiaohu,JD Gaming,-1918
62576,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Light,JD Gaming,-98
62576,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Crisp,JD Gaming,411
62577,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Flandre,WBG,-558
62577,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Kanavi,WBG,1158
62577,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Yagao,WBG,-254
62577,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Ruler,WBG,263
62577,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Missing,WBG,-121
62577,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Breathe,JD Gaming,558
62577,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Tarzan,JD Gaming,-1158
62577,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,xiaohu,JD Gaming,254
62577,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Light,JD Gaming,-263
62577,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Crisp,JD Gaming,121
62578,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Breathe,WBG,-478
62578,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Tarzan,WBG,125
62578,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,xiaohu,WBG,-213
62578,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Light,WBG,102
62578,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Crisp,WBG,-42
62578,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Flandre,JD Gaming,478
62578,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Kanavi,JD Gaming,-125
62578,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Yagao,JD Gaming,213
62578,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Ruler,JD Gaming,-102
62578,LPL Regional Finals 2024,2024-09-02,WBG,JD Gaming,Missing,JD Gaming,42
62541,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,shanji,NIP,-197
62541,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Leyan,NIP,779
62541,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,RooKie,NIP,127
62541,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Photic,NIP,-84
62541,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Zhuo,NIP,69
62541,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Flandre,JD Gaming,197
62541,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Kanavi,JD Gaming,-779
62541,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Yagao,JD Gaming,-127
62541,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Ruler,JD Gaming,84
62541,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Missing,JD Gaming,-69
62542,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Flandre,NIP,306
62542,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Kanavi,NIP,-769
62542,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Yagao,NIP,-627
62542,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Ruler,NIP,1396
62542,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Missing,NIP,418
62542,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,shanji,JD Gaming,-306
62542,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Leyan,JD Gaming,769
62542,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,RooKie,JD Gaming,627
62542,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Photic,JD Gaming,-1396
62542,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Zhuo,JD Gaming,-418
62543,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,shanji,NIP,586
62543,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Leyan,NIP,81
62543,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,RooKie,NIP,697
62543,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Photic,NIP,-1410
62543,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Zhuo,NIP,-144
62543,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Flandre,JD Gaming,-586
62543,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Kanavi,JD Gaming,-81
62543,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Yagao,JD Gaming,-697
62543,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Ruler,JD Gaming,1410
62543,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Missing,JD Gaming,144
62544,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,shanji,NIP,629
62544,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Leyan,NIP,1488
62544,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,RooKie,NIP,2303
62544,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Photic,NIP,1986
62544,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Zhuo,NIP,-24
62544,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Flandre,JD Gaming,-629
62544,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Kanavi,JD Gaming,-1488
62544,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Yagao,JD Gaming,-2303
62544,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Ruler,JD Gaming,-1986
62544,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Missing,JD Gaming,24
62545,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Flandre,NIP,182
62545,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Kanavi,NIP,264
62545,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Yagao,NIP,474
62545,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Ruler,NIP,497
62545,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Missing,NIP,343
62545,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,shanji,JD Gaming,-182
62545,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Leyan,JD Gaming,-264
62545,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,RooKie,JD Gaming,-474
62545,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Photic,JD Gaming,-497
62545,LPL Regional Finals 2024,2024-09-01,NIP,JD Gaming,Zhuo,JD Gaming,-343
62536,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,Breathe,WBG,-717
62536,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,Tarzan,WBG,664
62536,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,xiaohu,WBG,-1106
62536,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,Light,WBG,-666
62536,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,Crisp,WBG,-77
62536,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,Zika,LNG Esports,717
62536,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,WeiWei,LNG Esports,-664
62536,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,Scout,LNG Esports,1106
62536,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,GALA,LNG Esports,666
62536,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,Hang,LNG Esports,77
62537,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,Breathe,WBG,-727
62537,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,Tarzan,WBG,727
62537,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,xiaohu,WBG,-621
62537,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,Light,WBG,877
62537,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,Crisp,WBG,-135
62537,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,Zika,LNG Esports,727
62537,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,WeiWei,LNG Esports,-727
62537,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,Scout,LNG Esports,621
62537,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,GALA,LNG Esports,-877
62537,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,Hang,LNG Esports,135
62538,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,Breathe,WBG,-742
62538,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,Tarzan,WBG,293
62538,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,xiaohu,WBG,99
62538,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,Light,WBG,-505
62538,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,Crisp,WBG,-146
62538,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,Zika,LNG Esports,742
62538,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,WeiWei,LNG Esports,-293
62538,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,Scout,LNG Esports,-99
62538,LPL Regional Finals 2024,2024-08-31,WBG,LNG Esports,GALA,LNG Esports,505
